#: table_doi: 10.17182/hepdata.142939.v1/t8
#: name: Figure 12a
#: description: $R_{AA}$ for $(h^++h^-)/2$ and $\pi^0$ as function of $p_{T}$ for minimum bias and 9 centrality classes. Stat. stands for statistical error from Au+Au. The asymmetric uncertainty from the fit of the $\pi^0$ mass peak is denoted by fit. $\sigma_{ENBC}$ stands for error on number of binary collisions. Error from $pp$ parametrization that is not $p_T$ dependent. This error is not included in the calculation of the Upper bound of the systematic error and the Lower bound of the systematic error.
#: data_file: ppg023fig12a.yaml
#: keyword reactions: AU AU --> CHARGED X
#: keyword cmenergies: 200.0
#: keyword phrases: ppg023 | p0 | mid-rapidity | transverse momentum | nuclear modification factor
#: Centrality,,,minimum bias
$p_{T}$ (GeV/$c$),$p_{T}$ (GeV/$c$) LOW,$p_{T}$ (GeV/$c$) HIGH,$R_{AA}$,stat. +,stat. -,sys. (bounds) +,sys. (bounds) -,sys. ($pp$) +,sys. ($pp$) -,sys. ($N_{coll}$) +,sys. ($N_{coll}$) -
0.55,0.5,0.6,0.304,9e-05,-9e-05,0.054,-0.037,0.032,-0.032,0.03,-0.03
0.6499999999999999,0.6,0.7,0.332,0.0001,-0.0001,0.059,-0.04,0.035,-0.035,0.033,-0.033
0.75,0.7,0.8,0.359,0.00014,-0.00014,0.063,-0.043,0.037,-0.037,0.036,-0.036
0.8500000000000001,0.8,0.9,0.388,0.00016,-0.00016,0.068,-0.046,0.04,-0.04,0.038,-0.038
0.95,0.9,1.0,0.418,0.00021,-0.00021,0.072,-0.05,0.043,-0.043,0.041,-0.041
1.05,1.0,1.1,0.45,0.00027,-0.00027,0.076,-0.053,0.047,-0.047,0.045,-0.045
1.15,1.1,1.2,0.484,0.00029,-0.00029,0.081,-0.057,0.05,-0.05,0.048,-0.048
1.25,1.2,1.3,0.52,0.00036,-0.00036,0.084,-0.061,0.054,-0.054,0.051,-0.051
1.35,1.3,1.4,0.553,0.00044,-0.00044,0.087,-0.064,0.058,-0.058,0.055,-0.055
1.45,1.4,1.5,0.585,0.00053,-0.00053,0.089,-0.068,0.061,-0.061,0.058,-0.058
1.55,1.5,1.6,0.611,0.00061,-0.00061,0.09,-0.071,0.064,-0.064,0.061,-0.061
1.65,1.6,1.7,0.636,0.00076,-0.00076,0.089,-0.073,0.066,-0.066,0.063,-0.063
1.75,1.7,1.8,0.659,0.00086,-0.00086,0.089,-0.075,0.069,-0.069,0.065,-0.065
1.85,1.8,1.9,0.675,0.001,-0.001,0.088,-0.077,0.07,-0.07,0.067,-0.067
1.95,1.9,2.0,0.684,0.0012,-0.0012,0.087,-0.077,0.071,-0.071,0.068,-0.068
2.1,2.0,2.2,0.687,0.00096,-0.00096,0.084,-0.077,0.071,-0.071,0.068,-0.068
2.3,2.2,2.4,0.685,0.0012,-0.0012,0.08,-0.076,0.071,-0.071,0.068,-0.068
2.5,2.4,2.6,0.671,0.0015,-0.0015,0.077,-0.074,0.07,-0.07,0.066,-0.066
2.7,2.6,2.8,0.643,0.0019,-0.0019,0.073,-0.07,0.067,-0.067,0.064,-0.064
2.9,2.8,3.0,0.611,0.0023,-0.0023,0.071,-0.066,0.064,-0.064,0.061,-0.061
3.125,3.0,3.25,0.578,0.0025,-0.0025,0.07,-0.064,0.06,-0.06,0.057,-0.057
3.375,3.25,3.5,0.54,0.0031,-0.0031,0.066,-0.059,0.056,-0.056,0.053,-0.053
3.625,3.5,3.75,0.505,0.0038,-0.0038,0.062,-0.055,0.053,-0.053,0.05,-0.05
3.875,3.75,4.0,0.474,0.0047,-0.0047,0.059,-0.052,0.049,-0.049,0.047,-0.047
4.2,4.0,4.4,0.433,0.0046,-0.0046,0.055,-0.047,0.045,-0.045,0.043,-0.043
4.6,4.4,4.8,0.391,0.0061,-0.0061,0.051,-0.043,0.041,-0.041,0.039,-0.039
5.0,4.8,5.2,0.352,0.008,-0.008,0.047,-0.039,0.037,-0.037,0.035,-0.035
5.4,5.2,5.6,0.356,0.011,-0.011,0.049,-0.041,0.037,-0.037,0.035,-0.035
5.8,5.6,6.0,0.322,0.015,-0.015,0.047,-0.04,0.034,-0.034,0.032,-0.032
6.5,6.0,7.0,0.333,0.017,-0.017,0.056,-0.048,0.035,-0.035,0.033,-0.033
7.5,7.0,8.0,0.373,0.041,-0.041,0.073,-0.063,0.039,-0.039,0.037,-0.037

#: Centrality,,,0-10%
$p_{T}$ (GeV/$c$),$p_{T}$ (GeV/$c$) LOW,$p_{T}$ (GeV/$c$) HIGH,$R_{AA}$,stat. +,stat. -,sys. (bounds) +,sys. (bounds) -,sys. ($pp$) +,sys. ($pp$) -,sys. ($N_{coll}$) +,sys. ($N_{coll}$) -
0.55,0.5,0.6,0.251,0.00015,-0.00015,0.045,-0.031,0.026,-0.026,0.025,-0.025
0.6499999999999999,0.6,0.7,0.276,0.00017,-0.00017,0.05,-0.034,0.029,-0.029,0.027,-0.027
0.75,0.7,0.8,0.3,0.00021,-0.00021,0.054,-0.037,0.031,-0.031,0.029,-0.029
0.8500000000000001,0.8,0.9,0.326,0.00026,-0.00026,0.058,-0.04,0.034,-0.034,0.032,-0.032
0.95,0.9,1.0,0.353,0.00032,-0.00032,0.062,-0.043,0.037,-0.037,0.035,-0.035
1.05,1.0,1.1,0.382,0.00038,-0.00038,0.066,-0.047,0.04,-0.04,0.037,-0.037
